OID_;propertyCode;avg_d_kbps;avg_u_kbps
1036;95687795;202727;162432
1037;95643395;125641;122257
1038;95600245;153603;175411
1039;28283098;188058;162998
1040;95466189;121951;99378
1041;95383939;192629;146979
1042;95312739;144806;120310
1043;95287384;194190;169942
1044;95200211;121951;99378
1045;95049184;289252;272599
1046;94595741;139325;121662
1047;94595725;205245;157976
1048;93863587;192629;146979
1049;91757359;121951;99378
1050;91491564;121951;99378
1051;91099077;210799;136214
1052;88892608;139302;123231
1053;95728704;162458;125231
1054;95696049;205245;157976
1055;91649932;138244;96127
1056;95632648;110867;101976
1057;95588544;165312;124423
1058;95586600;213080;163989
1059;95557422;175431;131081
1060;95736412;250161;223406
1061;95757403;169876;117008
1062;95727907;155319;118234
1063;95703633;139325;121662
1064;81303138;171344;151598
1065;92815582;182475;133296
1066;92811759;155319;118234
1067;95713362;171774;135241
1068;94745053;192629;146979
1069;95496451;204011;165854
1070;95029420;144806;120310
1071;94772932;188100;153880
1072;95705805;239395;168481
1073;87546607;171774;135241
1074;95689716;205684;131476
1075;95657014;210799;136214
1076;95643118;144479;72811
1077;95606332;165312;124423
1078;95500568;253272;198554
1079;95514225;198610;170636
1080;95295261;121951;99378
1081;94760617;204011;165854
1082;94606098;209951;199592
1083;94044303;174620;130372
1084;95741725;188058;162998
1085;93592593;239395;168481
1086;29359997;175431;131081
1087;95718805;139352;105617
1088;95658681;200243;126433
1089;95633445;205245;157976
1090;95633225;210799;136214
1091;89233451;139325;121662
1092;95546337;198610;170636
1093;90603778;157707;138799
1094;90853865;125641;122257
1095;94244607;202727;162432
1096;92438581;139352;105617
1097;94750800;188100;153880
1098;95606550;230546;154476
1099;95595073;161218;133320
1100;95586942;184069;140924
1101;95543449;161218;133320
1102;95534977;165200;144805
1103;95406717;112127;110267
1104;90295626;121951;99378
1105;95333382;232177;148718
1106;95255561;182093;149480
1107;94811135;146537;107343
