propertyCode,address,province,city,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity
95568088,Calle de la Reina,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.472911,-0.3273621,4285,2,790,flat,67,True,3,1,good,False,1
95558572,barrio Campanar,Valencia,Valencia,Campanar,España,Campanar,39.4777146,-0.3995404999999999,2049,10,800,flat,90,True,3,2,good,False,1
95512761,barrio El Grau,Valencia,Valencia,Poblats Marítims,España,El Grau,39.4600873,-0.3355894,3779,1,1400,flat,97,True,3,1,good,False,1
95511499,Gran Via del Marqués del Túria,Valencia,Valencia,L'Eixample,España,Gran Vía,39.4647604,-0.3729736999999999,796,1,800,flat,65,True,1,1,good,True,1
86642069,CIUDAD GRAN TURIA s/n,Valencia,Valencia,Patraix,España,Vara de Quart,39.4616193,-0.4125732,3211,1,660,duplex,85,True,1,1,good,True,1
95334480,"CID, 110",Valencia,Valencia,L'Olivereta,España,Nou Moles,39.4698731,-0.4036278,2269,3,600,flat,85,True,3,1,good,True,1
95285806,"Calle Amador Martínez Rochína, 2",Valencia,Valencia,Campanar,España,Sant Pau,39.4858883,-0.4026339,2728,7,1100,flat,100,True,3,2,good,True,1
95261682,"Calle Santa Genoveva Torres, 2",Valencia,Valencia,Rascanya,España,Sant Llorenç,39.4949131,-0.3617223,2961,7,975,flat,100,True,3,2,good,True,1
95133031,Calle de l'Hedra,Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4711492,-0.3783965999999999,99,2,700,flat,59,True,1,1,good,True,1
83878932,"Los Angeles, 87",Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4711249,-0.3310594,3963,0,850,flat,80,True,1,1,good,False,1
94674793,Avenida del Puerto,Valencia,Valencia,Camins al Grau,España,Aiora,39.4632695,-0.3417578,3168,4,750,flat,95,True,3,2,good,True,1
83416192,"Calle Poeta Llombart, 4",Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4724704,-0.3783865999999999,179,1,950,flat,50,True,1,1,good,True,1
94155298,"la paz, 16",Valencia,Valencia,Ciutat Vella,España,La Xerea,39.4733687,-0.3739343,377,4,1200,flat,90,True,3,1,good,True,1
36221589,"Calle del Peu de la Creu, 9",Valencia,Valencia,Ciutat Vella,España,El Pilar,39.4732088,-0.3807636,381,3,450,flat,45,False,1,1,good,True,1
35563634,"Pie de la Cruz, 9",Valencia,Valencia,Ciutat Vella,España,El Pilar,39.4732088,-0.3807636,381,6,800,penthouse,76,True,2,2,good,True,1
81458321,"ARQUITECTO LUCINI, 20",Valencia,Valencia,La Saïdia,España,Tormos,39.4906609,-0.3761408,2174,3,800,flat,97,True,3,2,good,True,1
95734874,Calle de Sant Jacint,Valencia,Valencia,Extramurs,España,La Petxina,39.4730287,-0.3895953,1081,3,570,flat,70,True,3,1,good,False,1
95734271,barrio Sant Francesc,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4714028,-0.3761294,100,1,750,flat,55,True,1,1,good,True,1
95722961,barrio Aiora,Valencia,Valencia,Camins al Grau,España,Aiora,39.4678462,-0.3490673999999999,2445,1,700,studio,80,True,0,1,good,True,1
95721825,barrio Sant Llorenç,Valencia,Valencia,Rascanya,España,Sant Llorenç,39.4915018,-0.3615741999999999,2634,6,1100,flat,100,True,3,2,good,True,1
95721517,barrio Ciutat Fallera,Valencia,Valencia,Benicalap,España,Ciutat Fallera,39.4999862,-0.3941016,3520,2,750,flat,86,True,4,2,good,True,1
95720845,barrio Ciutat Fallera,Valencia,Valencia,Benicalap,España,Ciutat Fallera,39.4970994,-0.3925858,3174,2,750,flat,86,True,4,2,good,True,1
95686420,Calle La Olivereta,Valencia,Valencia,L'Olivereta,España,Nou Moles,39.4731994,-0.3959322999999999,1621,1,600,flat,75,True,3,1,good,False,1
95676355,Calle de la Marina Baixa,Valencia,Valencia,Campanar,España,Sant Pau,39.4901765,-0.4059701,3250,5,1000,penthouse,95,True,2,2,good,True,1
95660463,santa clara,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4667781,-0.3741577,550,6,800,studio,47,True,0,1,good,True,1
95600342,Calle de Matías Perelló,Valencia,Valencia,L'Eixample,España,Russafa,39.4618977,-0.3690889,1241,2,800,flat,80,False,2,1,good,True,1
37373014,Calle de la Serra Martés,Valencia,Valencia,Benicalap,España,Benicalap,39.4878026,-0.3927458,2282,7,625,flat,74,True,3,1,good,True,1
95551486,Santa Clara,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4689656,-0.3742615999999999,350,7,800,studio,47,True,0,1,good,True,1
95465127,barrio Mestalla,Valencia,Valencia,El Pla del Real,España,Mestalla,39.4672437,-0.3563612,1843,5,800,flat,60,True,1,1,good,True,1
95429041,Calle Molinell,Valencia,Valencia,La Saïdia,España,Trinitat,39.4866675,-0.3686198,1879,1,700,flat,90,True,3,1,good,True,1
95406765,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4713108,-0.3275522999999999,4264,0,1050,chalet,90,False,1,2,good,False,1
95371029,Calle Historiador Diago,Valencia,Valencia,Extramurs,España,Arrancapins,39.4675763,-0.3844855,736,2,900,flat,70,True,2,1,good,True,1
95308715,barrio En Corts,Valencia,Valencia,Quatre Carreres,España,En Corts,39.4573262,-0.3717083,1605,3,745,flat,89,True,2,1,good,True,1
95220217,Calle de Santa Genoveva Torres,Valencia,Valencia,Rascanya,España,Sant Llorenç,39.4950491,-0.3631316,2922,11,1000,flat,89,True,2,2,good,True,1
95096672,barrio El Mercat,Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4725551,-0.3808694999999999,350,3,900,flat,90,True,3,1,good,False,1
94959175,Calle del Conde de Altea,Valencia,Valencia,L'Eixample,España,Gran Vía,39.46744,-0.3631751,1274,2,900,flat,84,True,3,1,good,True,1
94893436,barrio Playa de la Malvarrosa,Valencia,Valencia,Poblats Marítims,España,Playa de la Malvarrosa,39.477325,-0.3288605,4208,1,750,flat,90,True,3,1,good,False,1
94686973,barrio El Mercat,Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4734386,-0.3807914,399,4,1300,flat,85,True,1,1,good,True,1
94605965,barrio La Petxina,Valencia,Valencia,Extramurs,España,La Petxina,39.477016,-0.3919750999999999,1424,3,1000,flat,90,True,2,2,good,True,1
94310256,barrio Albors,Valencia,Valencia,Camins al Grau,España,Albors,39.4694191,-0.3523353999999999,2145,3,1800,flat,98,True,3,1,good,False,1
93806401,barrio La Seu,Valencia,Valencia,Ciutat Vella,España,La Seu,39.4739611,-0.374341,401,2,1450,flat,63,True,2,1,good,True,1
93203944,Calle Salinas s/n,Valencia,Valencia,Ciutat Vella,España,El Carme,39.476997,-0.3791085999999999,672,3,899,flat,50,True,1,1,good,False,1
93235118,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4655189,-0.3291505,4174,2,800,flat,70,True,2,2,good,False,1
93209925,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4647189,-0.3315504999999999,3985,2,900,penthouse,69,True,2,1,good,False,1
93178062,Calle del Pare Lluís Navarro,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4632189,-0.3313505,4035,2,850,flat,70,True,2,1,good,False,1
92792991,barrio Les Tendetes,Valencia,Valencia,Campanar,España,Les Tendetes,39.485523,-0.3852286,1741,1,1050,flat,83,True,3,1,good,False,1
95706371,barrio Benimaclet,Valencia,Valencia,Benimaclet,España,Benimaclet,39.4884489,-0.3602557999999999,2415,6,1000,penthouse,80,True,3,1,good,True,1
95632848,barrio Penya-Roja,Valencia,Valencia,Camins al Grau,España,Penya-Roja,39.4618471,-0.3558913999999999,2102,6,1300,flat,92,True,3,2,good,True,1
95703586,barrio En Corts,Valencia,Valencia,Quatre Carreres,España,En Corts,39.4524581,-0.37412,2092,7,950,flat,100,True,4,1,good,True,1
87471708,Denia,Valencia,Valencia,L'Eixample,España,Russafa,39.4631709,-0.3768723,884,3,650,flat,45,True,2,1,good,False,1
95733946,Calle los Naranjos,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4755058,-0.3265682,4376,2,790,flat,67,True,3,1,good,False,1
